Wavenumber,Denoised
1575.43384,7192.775845122497
1577.68502,7483.565212190163
1579.93547,7594.439671918832
1582.18519,7528.909921899217
1584.43419,7297.298338090786
1586.68246,6912.921732618414
1588.93,6376.421548260789
1591.17682,5734.041841987503
1593.42292,5022.962364501405
1595.66829,4270.1908195520855
1597.91293,3535.500832150983
1600.15685,2899.451295733861
1602.40005,2419.368144795652
1604.64253,2105.7882256750286
1606.88428,1941.338084197424
1609.12531,1868.5645087806222
1611.36561,1833.612602556367
1613.6052,1821.4425515919997
1615.84406,1794.3984228832715
1618.0822,1775.609319555387
1620.31962,1757.8786956161916
1622.55632,1732.5390077672216
1624.79229,1702.9167160967415
1627.02755,1673.5698120398604
1629.26209,1652.4770432624825
1631.49591,1624.93324258906
1633.72901,1604.3507424125323
1635.96139,1583.5443549002734
1638.19305,1568.314515616194
1640.42399,1556.3127258221439
1642.65422,1553.1024074108984
1644.88373,1547.796709561928
1647.11252,1538.6091839032165
1649.34059,1538.1041150146905
1651.56794,1522.425136737476
1653.79458,1510.3788646649034
1656.02051,1496.3330918600657
1658.24572,1494.6256410754954
1660.47021,1472.6228575776206
1662.69399,1472.1430407060939
1664.91705,1467.421749156568
1667.1394,1455.7380084896836
1669.36103,1456.183680009788
1671.58195,1455.0441667080556
1673.80216,1448.1248054462053
1676.02165,1433.7707991925279
1678.24043,1427.0633821117826
1680.4585,1412.377739810377
1682.67585,1415.6180370251532
1684.8925,1404.5432510591513
1687.10843,1401.185561258563
1689.32365,1384.179559284062
1691.53816,1375.5010364922998
1693.75195,1375.7290480058664
1695.96504,1370.48752478586
1698.17742,1379.0354650702664
1700.38909,1381.3546771330323
1702.60004,1380.7212976233884
1704.81029,1377.6130756750392
1707.01983,1377.2782232788315
1709.22866,1373.6914849721954
1711.43679,1376.6393582870041
1713.6442,1375.3292866230615
1715.85091,1370.4886758319535
1718.05691,1357.746363157877
1720.2622,1347.9796531938366
1722.46679,1338.1338158809895
1724.67067,1332.6714561359747
1726.87384,1328.2532298986423
1729.07631,1310.1551856129283
1731.27807,1301.760809699231
1733.47913,1286.5456411604932
1735.67948,1293.5874529094308
1737.87913,1295.9465883295024
1740.07807,1296.0871518960275
1742.27631,1297.4714364399963
1744.47385,1298.1639939816764
1746.67068,1295.882615344867
1748.86681,1294.8108761228991
1751.06224,1294.634081386057
1753.25696,1299.8584208205127
1755.45099,1306.5991149885413
1757.64431,1310.5126069401595
1759.83693,1310.3800145439516
1762.02884,1313.5427339947523
1764.22006,1316.6793582837358
1766.41058,1315.0145583523856
1768.60039,1323.5974782837357
1770.78951,1319.4754446812512
1772.97793,1311.016464570104
1775.16564,1309.0838830826897
1777.35266,1311.7621732134514
1779.53898,1309.142923883605
1781.7246,1302.2536198888356
1783.90952,1294.7562170938047
1786.09375,1285.7820131219185
1788.27728,1276.4178366426772
1790.46011,1267.1953958417619
1792.64224,1256.584036541337
1794.82368,1252.1436475285877
1797.00442,1247.2687887414024
1799.18446,1250.3235166786367
1801.36381,1248.932591265103
1803.54246,1249.2996611735698
1805.72042,1244.2824492807945
1807.89769,1241.9071471068814
1810.07425,1234.313752088902
1812.25013,1236.148182186973
1814.42531,1231.9344918175714
1816.5998,1233.1651021575517
1818.77359,1238.2663065446063
1820.94669,1242.401150650523
1823.1191,1238.7254794246323
1825.29082,1235.60296909119
1827.46184,1233.5233280124064
1829.63217,1230.0118564530733
1831.80181,1230.4262575547405
1833.97076,1237.0276989833117
1836.13902,1241.1292953612128
1838.30659,1254.5991005916803
1840.47347,1264.5720937070773
1842.63965,1272.3372849493132
1844.80515,1280.7991355998524
1846.96996,1287.2007852010295
1849.13408,1283.2639622327392
1851.29751,1291.0600012945238
1853.46025,1289.6262162667372
1855.62231,1283.9886784373812
1857.78367,1277.8006932592184
1859.94435,1271.6885271788
1862.10434,1260.8037515527785
1864.26365,1251.5585461850114
1866.42226,1234.9988904118834
1868.5802,1226.7723632755642
1870.73744,1225.2579612651034
1872.894,1219.5229336841946
1875.04987,1205.512746953237
1877.20506,1203.4759731676863
1879.35957,1197.1724997613444
1881.51339,1188.0632313468298
1883.66652,1185.2204499215275
1885.81897,1178.0171523438878
1887.97074,1180.623402255624
1890.12182,1174.266258846013
1892.27222,1174.1862730728842
1894.42194,1169.8112619679482
1896.57098,1165.2044941091708
1898.71933,1149.676805737154
1900.867,1146.743657518782
1903.01399,1143.0636052108382
1905.1603,1143.2490711114592
1907.30592,1147.8593191075365
1909.45087,1144.5578486466018
1911.59514,1153.5445689506225
1913.73872,1151.0067351748787
1915.88163,1149.4317527982853
1918.02385,1142.470030928393
1920.1654,1143.841961225876
1922.30627,1135.3098816737347
1924.44646,1125.8382590061965
1926.58597,1125.1286199476806
1928.7248,1118.6998480483671
1930.86295,1121.6829413435619
1933.00043,1122.4293803236205
1935.13723,1122.910454560299
1937.27335,1118.3639291009988
1939.4088,1123.9727629421234
1941.54357,1117.3703559659873
1943.67766,1128.214142621757
1945.81108,1133.313083223261
1947.94382,1143.5605999640256
1950.07589,1147.3279389702368
1952.20728,1149.3572355148592
1954.338,1153.8582366328717
1956.46804,1146.7893287021755
1958.59741,1151.006426730943
1960.72611,1146.7183250048886
1962.85413,1144.3216773128324
1964.98148,1131.8998065151864
1967.10815,1120.233769107537
1969.23416,1110.0631320202535
1971.35949,1106.965500434768
1973.48415,1099.274721415481
1975.60813,1084.935065423327
1977.73145,1080.4886940274457
1979.85409,1075.0658277083874
1981.97607,1077.5669816868117
1984.09737,1074.3332728963574
1986.218,1086.8095047727872
1988.33797,1082.1192073259094
1990.45726,1083.7049985746835
1992.57588,1079.028070310545
1994.69384,1081.005685357946
1996.81113,1080.733273579587
